Columns Type,Numerical,time,discrete,continuous,,,categoricals
"'Id',",1,0,,,,,"'MSZoning',"
" 'MSSubClass',",1,0,1,,,," 'Street',"
" 'LotFrontage',",1,0,,1,,," 'Alley',"
" 'LotArea',",1,0,,1,,," 'LotShape',"
" 'OverallQual',",1,0,1,,,," 'LandContour',"
" 'OverallCond',",1,0,1,,,," 'Utilities',"
" 'YearBuilt',",1,1,1,,,," 'LotConfig',"
" 'YearRemodAdd',",1,1,1,,,," 'LandSlope',"
" 'MasVnrArea',",1,0,,1,,," 'Neighborhood',"
" 'BsmtFinSF1',",1,0,,1,,," 'Condition1',"
" 'BsmtFinSF2',",1,0,,1,,," 'Condition2',"
" 'BsmtUnfSF',",1,0,,1,,," 'BldgType',"
" 'TotalBsmtSF',",1,0,,1,,," 'HouseStyle',"
" '1stFlrSF',",1,0,,1,,," 'RoofStyle',"
" '2ndFlrSF',",1,0,,1,,," 'RoofMatl',"
" 'LowQualFinSF',",1,0,,1,,," 'Exterior1st',"
" 'GrLivArea',",1,0,,1,,," 'Exterior2nd',"
" 'BsmtFullBath',",1,0,,,,," 'MasVnrType',"
" 'BsmtHalfBath',",1,0,,,,," 'ExterQual',"
" 'FullBath',",1,0,1,,,," 'ExterCond',"
" 'HalfBath',",1,0,1,,,," 'Foundation',"
" 'BedroomAbvGr',",1,0,1,,,," 'BsmtQual',"
" 'KitchenAbvGr',",1,0,1,,,," 'BsmtCond',"
" 'TotRmsAbvGrd',",1,0,1,,,," 'BsmtExposure',"
" 'Fireplaces',",1,0,1,,,," 'BsmtFinType1',"
" 'GarageYrBlt',",1,1,1,,,," 'BsmtFinType2',"
" 'GarageCars',",1,0,,1,,," 'Heating',"
" 'GarageArea',",1,0,,1,,," 'HeatingQC',"
" 'WoodDeckSF',",1,0,,1,,," 'CentralAir',"
" 'OpenPorchSF',",1,0,,1,,," 'Electrical',"
" 'EnclosedPorch',",1,0,,1,,," 'KitchenQual',"
" '3SsnPorch',",1,0,,1,,," 'Functional',"
" 'ScreenPorch',",1,0,,1,,," 'FireplaceQu',"
" 'PoolArea',",1,0,,1,,," 'GarageType',"
" 'MiscVal',",1,0,,1,,," 'GarageFinish',"
" 'MoSold',",1,1,1,,,," 'GarageQual',"
" 'YrSold',",1,1,,,,," 'GarageCond',"
 'SalePrice',1,0,,1,,," 'PavedDrive',"
,,,,,,," 'PoolQC',"
,,,,,,," 'Fence',"
,,,,,,," 'MiscFeature',"
,,,,,,," 'SaleType',"
,,,,,,, 'SaleCondition'
